@RELATION Training

@ATTRIBUTE FE REAL
@ATTRIBUTE SE REAL
@ATTRIBUTE TE REAL
@ATTRIBUTE BE REAL
@ATTRIBUTE Volunteering REAL
@ATTRIBUTE Technical REAL
@ATTRIBUTE Technical++ REAL
@ATTRIBUTE Non-technical REAL
@ATTRIBUTE Technologies REAL
@ATTRIBUTE Coding REAL
@ATTRIBUTE Placement {A,B,C}
	
@DATA
64,65,65,66,20,20,60,60,60,50,B
78,68,62,64,60,20,20,100,20,50,B
84,70,69,68,20,60,20,20,100,50,B
67,66,66,64,100,60,60,100,60,25,B
65,63,56,59,100,60,60,100,100,25,B
73,70,65,69,60,60,60,100,60,25,B
78,76,76,72,60,100,100,100,100,100,A
61,54,58,64,60,20,60,20,20,50,B
70,65,62,65,100,60,60,100,100,50,B
77,74,76,72,20,100,60,100,100,75,A
67,63,69,64,20,60,20,20,60,75,B
70,67,67,65,100,60,60,100,100,50,B
64,62,68,65,60,60,60,60,100,50,B
67,63,66,65,100,60,60,100,100,50,B
61,56,55,55,60,60,60,20,20,50,B
81,71,80,75,20,60,20,20,60,25,B
68,57,64,58,20,20,20,60,20,25,B
83,75,77,73,20,100,60,60,100,75,A
75,70,76,74,20,100,100,60,100,75,B
62,57,60,66,100,100,60,100,100,75,B
71,65,70,68,60,60,60,60,100,50,B
59,55,64,68,60,60,60,60,60,50,B
80,77,77,78,20,60,60,20,100,75,B
60,61,65,66,60,60,60,60,100,50,B
64,60,61,68,100,60,100,60,100,25,B
73,58,59,62,20,60,60,60,60,50,B
63,63,65,70,60,60,60,100,100,75,B
70,69,71,73,20,100,100,100,100,75,B
79,75,77,75,60,100,60,60,100,75,B
70,65,66,65,100,60,60,60,100,50,B
71,69,70,69,100,100,60,100,100,75,B
61,62,66,71,60,60,60,100,60,50,B
69,66,72,70,20,60,60,20,100,75,B
65,64,66,73,20,100,60,20,100,75,B
78,69,67,67,60,60,100,100,60,75,A
69,66,72,70,100,60,60,60,100,25,B
66,70,66,70,20,60,60,60,60,50,B
57,64,64,66,60,20,60,100,20,25,B
61,63,60,66,20,20,20,60,20,25,B
80,77,73,72,20,60,60,20,60,75,B
73,71,69,68,60,60,60,20,100,50,B
62,61,63,64,60,60,60,60,60,50,B
76,73,74,76,20,60,60,20,100,75,A
63,65,65,66,60,60,60,60,60,50,B
71,64,69,70,20,60,60,60,60,50,A
65,57,54,57,100,20,20,60,60,50,B
77,74,69,72,20,100,100,60,100,75,B
74,70,69,73,60,60,100,60,100,50,C
68,71,69,71,60,100,60,60,100,50,A
80,71,71,71,20,100,100,20,60,50,B
79,74,67,65,20,60,60,20,60,75,B
75,66,64,62,100,60,60,100,100,50,B
72,69,71,65,20,100,60,20,100,50,B
71,66,63,64,100,100,100,100,100,75,B
65,65,68,64,100,60,60,60,60,50,B
62,65,70,73,60,20,20,20,20,50,B
56,61,57,56,20,20,20,20,20,25,B
81,83,83,80,100,60,100,60,100,50,A
63,62,67,71,20,20,20,20,20,25,B
75,70,70,73,20,100,60,60,100,75,A
64,63,62,58,60,60,60,100,60,50,B
68,64,68,66,60,60,60,60,60,50,B
69,68,70,70,100,60,60,100,100,25,B
75,74,69,69,60,100,100,60,100,75,B
58,55,61,58,60,60,60,100,20,25,A
72,77,78,76,100,60,60,60,100,50,A
65,64,63,62,60,20,60,60,20,25,B
72,71,72,72,100,60,60,60,100,50,B
74,68,70,68,100,100,100,100,60,75,A
75,72,70,67,100,20,60,100,60,50,B
71,67,72,75,100,60,100,100,100,50,B
71,72,71,71,20,60,60,20,60,75,B
66,64,64,67,60,60,60,60,100,50,B
60,58,60,60,60,20,20,60,60,25,B
76,69,72,75,100,100,100,60,100,100,A
72,63,62,67,20,20,60,60,60,25,B
79,77,78,79,20,60,20,60,100,50,B
76,68,70,75,60,100,60,100,100,50,A
74,69,67,68,60,60,60,100,100,75,B
71,68,72,73,60,60,60,100,100,50,A
69,64,70,70,60,60,20,60,100,50,B
72,71,73,72,60,60,60,60,100,50,B
74,62,62,60,20,20,60,20,60,50,B
61,59,63,64,100,60,100,60,60,50,B
67,70,73,77,100,60,60,60,100,50,B
73,66,66,67,20,20,60,60,60,50,B
58,56,61,72,100,60,60,100,60,50,B
68,72,70,74,60,60,60,100,100,50,A
69,67,69,71,100,100,100,100,100,75,B
69,64,67,67,100,60,100,100,100,50,B
61,64,66,67,100,60,100,100,60,50,B
63,62,67,65,60,20,60,60,20,25,B
76,72,70,65,60,100,60,60,100,75,B
68,66,69,65,60,60,60,60,100,50,B
70,70,68,67,60,60,60,60,100,25,B
70,70,72,70,60,60,60,60,100,75,A
72,67,67,68,60,60,60,60,100,50,B
71,68,62,68,60,100,60,100,60,75,A
63,69,73,78,100,100,100,100,100,100,B
68,72,67,70,60,60,60,60,100,100,A
72,70,72,69,100,60,100,60,100,50,C
81,79,69,72,100,100,100,60,100,100,A
66,65,68,66,60,60,60,60,100,50,B
62,62,65,71,60,60,60,100,100,50,B
80,75,78,79,100,100,100,100,100,50,A
72,69,71,77,100,60,60,60,100,50,B
66,63,64,63,100,100,60,100,60,50,B
69,68,67,68,100,100,60,100,100,50,B
68,64,68,71,100,60,60,60,100,50,B
77,73,72,74,100,100,100,100,100,50,A
66,65,63,63,100,100,100,100,100,75,B
66,64,75,73,20,100,60,60,60,50,B
65,60,61,66,60,60,60,60,60,50,B
69,68,68,69,60,60,60,60,100,50,B
66,69,70,78,100,100,100,100,100,75,B
78,80,77,78,100,100,100,100,100,75,A
75,72,72,72,100,100,100,60,100,50,A
68,66,70,77,100,100,100,60,100,75,B
68,66,70,71,20,20,60,100,60,25,C
74,74,77,78,100,100,100,100,100,75,A


